id;in_game;zalo_name;phone;age;full_name
1;Practical HDD applications;architecture;0287 3468 2;35;Account Iowa Washington
2;ivory Card Bacon;mobile;0225 0907 6;41;orchestration
3;Tenge;JSON array;0228 6002 3;72;partnerships Chicken Generic
4;indexing Montana Public-key;white e-commerce navigate;0246 8566 0;11;Sleek
5;Point Regional;Regional;0228 5896 7;19;white Curve
6;Tools;Investor Intranet optical;0215 3715 3;10;experiences
7;Won GB;wireless;0203 6690 4;34;SMS Account
8;SSL Kosovo Response;Frozen;021 0763 74;80;efficient program
9;global;Euro;0211 1203 6;63;task-force
10;Plastic pixel;Croatia Directives;0284 0709 3;9;system-worthy Chips
